,Run Information,,,,,,,,,Bins,,,,,
Run Number(s),# Runs,Sample,Phase Shifter,Harmonics,Ref,SLU,Scan Range,Good Data?,Notes,"Total         Grouped by State (X,B,C)",X State,A State,B State,C State,Other
217,1,CO2,x,"9,11,13",x,OFF,x,,,,,,,,
219-230,12,CO2,4,"9,11,13",13,ON,2.55:1.175:-0.125,,This run terminates earlier than others in the series,"bins = [[5825,5845],[6200,6260],[5925,5950],[6740,6800],[6002,6030],[7150,7270]]","[[5825,5845],[6200,6260]]",,"[[5925,5950],[6740,6800]]","[[6002,6030],[7150,7270]]",
231-243,13,CO2,4,"9,11,13",13,ON,2.55:1.05:-0.125,,,"bins = [[5825,5845],[6200,6260],[5925,5950],[6740,6800],[6002,6030],[7150,7270]]","[[5825,5845],[6200,6260]]",,"[[5925,5950],[6740,6800]]","[[6002,6030],[7150,7270]]",
244-256,13,CO2,4,"9,11,13",13,ON,2.55:1.05:-0.125,,T0 change to -6144.12,"bins = [[5825,5845],[6200,6260],[5925,5950],[6740,6800],[6002,6030],[7150,7270]]","[[5825,5845],[6200,6260]]",,"[[5925,5950],[6740,6800]]","[[6002,6030],[7150,7270]]",
257-259,13,CO2,4,"9,11,13",13,ON,2.55:1.05:-0.125,,,"bins = [[5825,5845],[6200,6260],[5925,5950],[6740,6800],[6002,6030],[7150,7270]]","[[5825,5845],[6200,6260]]",,"[[5925,5950],[6740,6800]]","[[6002,6030],[7150,7270]]",
270,1,He,x,"9,11,13",x,OFF,x,,T0 change to -6144.135 with change in spatial,,,,,,
272-285,13,He,4,"9,11,13",13,ON,2.55:1.05:-0.125,,Exclude 284,"bins = [[5800,5845],[6130,6210]]",,,,,"[[5800,5845],[6130,6210]]"
286-298,13,Ne,4,"9,11,13",13,ON,2.55:1.05:-0.125,,,"bins = [[5847,5865],[6276,6302]]",,,,,"[[5847,5865],[6276,6302]]"
299-311,13,Ne,4,"9,11,13",13,ON,2.55:1.05:-0.125,,T0 changed,"bins = [[5847,5865],[6276,6302]]",,,,,"[[5847,5865],[6276,6302]]"
312-324,13,Ne,4,"9,11,13",13,ON,2.55:1.05:-0.125,,,"bins = [[5847,5865],[6276,6302]]",,,,,"[[5847,5865],[6276,6302]]"
325-337,13,Ne,4,"9,11,13",13,ON,2.55:1.05:-0.125,,,"bins = [[5847,5865],[6276,6302]]",,,,,"[[5847,5865],[6276,6302]]"
338-350,13,Ne,6,"9,11,13",9,ON,2.10:0.6:-0.125,,,"bins = [[5847,5865],[6276,6302]]",,,,,"[[5847,5865],[6276,6302]]"
